Time,Node 159.65.60.19,Node 138.68.173.232,Node 159.65.60.26,Node 138.68.191.108,Node 192.5.86.169,Node 129.114.108.212
1/8/21 20:00,15412684290,12609564959,66232.18552,43217669.07,73803371.05,2407011.108
1/8/21 21:00,17383299456,11983218861,70175507.04,31461974.08,50132430.34,1973609.19
1/8/21 22:00,14939421668,9703507450,16039.12285,21089590.54,104931564.2,1875002.989
1/8/21 23:00,13144446901,6940982137,84572.88,11134168.89,85994064.04,1451192.229
1/9/21 0:00,12250367652,1810131159,24623898.67,121476862.7,58751088.39,1392023.993
1/9/21 1:00,10988545917,7621399197,43199.00486,149136697.9,22794266.82,1123448.287
1/9/21 2:00,15153640503,5692276935,109985.5296,130718866.2,21926832.54,1123658.183
1/9/21 3:00,20184644108,3796574865,48770856.4,176478832.4,23135098.76,1172701.333
1/9/21 4:00,18833540386,5101853829,85881560.02,208087559.5,31565100.66,2591573.547
1/9/21 5:00,19729011492,3701425063,15270.94816,156422915.7,18639548.49,2447770.002
1/9/21 6:00,18201632552,4578567675,63634.64833,224106070.3,18034693.64,1038778.282
1/9/21 7:00,20543742331,6051570699,36120355.54,217744976,96654897.77,1062415.11
1/9/21 8:00,21304172991,5304789105,121177780.8,147997315.2,13887881.23,1042613.596
1/9/21 9:00,20338584678,6256667771,113272.5607,111261398.5,11465252.56,1042142.743
1/9/21 10:00,22629421957,4044971124,16203.54323,198354418.6,56794700.04,1074505.886
1/9/21 11:00,22540581686,4498024811,51110.93691,112038535.1,20247509.78,1066826.084
1/9/21 12:00,20303801232,5517456432,49177491.18,85815435.22,16403392.87,1043177.324
1/9/21 13:00,15996298891,7729316301,29184930.72,97840725.27,68590702.14,1036396.736
1/9/21 14:00,18242481919,5505933577,58624.24889,84241349.61,80645208.84,1198122.315
1/9/21 15:00,19402073820,6468912822,37311098.34,140968941.2,116054612.5,1443324.14
1/9/21 16:00,14988562996,7958424208,44794199.15,69996013.65,104724653,1460179.246
1/9/21 17:00,12951206019,8151690599,43124271.09,72482058.33,57564550.18,1327616.891
1/9/21 18:00,11669696387,7065331691,65375.48878,75511940.2,111493543.9,1350041.746
1/9/21 19:00,14518998542,8474611116,14803.84181,83077167.9,124808547.2,1297674.338
1/9/21 20:00,14480967484,8055094283,30421622.43,80588887.24,84027129.63,1324662.802
1/9/21 21:00,23849566984,6559513459,36635704.69,96615154.68,72647231.82,1640440.703
1/9/21 22:00,26084308358,9619597095,43140519.36,112666551.1,59006615.92,1645236.177
1/9/21 23:00,22477733023,7921913950,90320.55688,98122313.04,57950216.71,1246678.745
1/10/21 0:00,21791909234,10777883614,81573469.55,87311014.81,115532846.2,2668461.409
1/10/21 1:00,19440483696,6992274664,36626783.57,119728178.9,15521269.69,1028574.643
1/10/21 2:00,18345504190,7607381971,20461.48108,119656610.6,49118664.15,1025674.231
1/10/21 3:00,14771274937,7536108115,14473.32653,172101229.3,12759800.25,1018634.081
1/10/21 4:00,14266909136,8982837067,62988.27,153348654.6,15009978.92,2545551.651
1/10/21 5:00,12317522703,6075196368,43249835.67,126975163.4,18674486.37,2358565.943
1/10/21 6:00,11906037765,2863558546,38477345.03,118649740.7,18665083.76,1011492.981
1/10/21 7:00,12860990166,3047367687,37925608.52,221697687,15518173.08,987711.1929
1/10/21 8:00,11094328679,4750240203,80284479.78,186191454,101764146.6,878575.4082
1/10/21 9:00,7366085505,5133774756,67558.33219,101846684.6,19321475.09,907325.8151
1/10/21 10:00,9751723601,4593471300,80706.60781,103428516.5,67349144.39,905743.6932
1/10/21 11:00,10225381237,3379965641,44442968.56,84788353.91,17106774.67,882501.0913
1/10/21 12:00,8016995427,1906947238,36056035.82,69681668.57,10729070.13,906888.3172
1/10/21 13:00,8499173552,1008661340,70019.01424,66185733.04,32229198.9,938480.9021
1/10/21 14:00,13250593554,3278497683,36613.65021,43903260.9,57285931.44,1046072.658
1/10/21 15:00,17183180329,5306078852,40271088.57,36114007.11,53945753.25,1644311.319
1/10/21 16:00,14301746036,12204339941,37514159.62,74218320.59,122608120.8,1524464.417
1/10/21 17:00,10819136067,9649244178,49748659.85,51983091.14,115975963.3,1576599.75
1/10/21 18:00,12569832561,9562264645,37497545.75,54270230.94,66955180.11,1080363.442
1/10/21 19:00,18404243956,10656576359,14910.79615,58730293.24,105535458.4,1243873.371
1/10/21 20:00,17991573370,12179031920,86456.6825,62288222.45,116312960.6,2549532.061
1/10/21 21:00,16667238042,12013104114,30993526.58,59623514.45,74504084.27,1462642.513
1/10/21 22:00,13120259445,10741518526,106596.7578,85600489.22,79559438.91,1205134.957
1/10/21 23:00,14259551790,19075582784,113284.3105,74563784.5,58837529.81,1047115.753
1/11/21 0:00,11329024265,9981276620,38522191.4,69201072.11,22327535.64,990700.2667
1/11/21 1:00,12513548116,12637454553,37810005.68,91289562.92,56011574.42,999399.7358
1/11/21 2:00,10988284200,20139635106,14664.58674,107901617,27657091.35,973478.4089
1/11/21 3:00,9985652528,19485089836,44143.03688,180495742.4,35027465.04,904410.6996
1/11/21 4:00,9054042026,16300009282,43118709.35,256593351.7,19160398.25,2319395.627
1/11/21 5:00,10778020647,13349010527,50173392.01,120242665.9,7058961.588,2303553.94
1/11/21 6:00,14208488974,9347440131,50309884.98,95665497.1,15120447.69,881593.3213
1/11/21 7:00,19771511228,10103044619,93262.83813,88169786.25,95492801.85,886842.1938
1/11/21 8:00,14166549289,14534136967,74833437.1,92918863.39,10696374.29,879463.3697
1/11/21 9:00,7605514214,12996669379,15982.16729,82554883.46,50514613.16,881514.4932
1/11/21 10:00,10485604885,10211473518,44403125.69,78551211.9,25187570.38,897614.3175
